2015-07-13 19:19:20 INFO  :168 - Successfully built GUI
2015-07-13 19:19:20 INFO  :187 - Next update in 10 minutes
2015-07-13 19:19:35 INFO  :189 - Table updated
2015-07-13 19:19:35 INFO  :187 - Next update in 10 minutes
2015-07-13 19:19:50 INFO  :189 - Table updated
2015-07-13 19:19:50 INFO  :187 - Next update in 10 minutes
2015-07-13 19:20:05 INFO  :189 - Table updated
2015-07-13 19:20:06 INFO  :187 - Next update in 10 minutes
2015-07-13 19:20:21 INFO  :189 - Table updated
2015-07-13 19:20:21 INFO  :187 - Next update in 10 minutes
2015-07-13 19:20:36 INFO  :189 - Table updated
2015-07-13 19:20:36 INFO  :187 - Next update in 10 minutes
2015-07-13 19:20:51 INFO  :189 - Table updated
2015-07-13 19:20:51 INFO  :187 - Next update in 10 minutes
2015-07-13 20:02:17 INFO  :51 - Program starting
2015-07-13 20:07:18 INFO  :51 - Program starting
2015-07-13 20:07:18 INFO  :49 - Opening stream to bank of israel
2015-07-13 20:07:19 INFO  :86 - Closing stream with bank of israel
2015-07-13 20:09:12 INFO  :51 - Program starting
2015-07-13 20:09:12 INFO  :51 - Opening stream to bank of israel
2015-07-13 20:09:13 INFO  :88 - Closing stream with bank of israel
2015-07-13 20:11:17 INFO  :51 - Program starting
2015-07-13 20:11:17 INFO  :51 - Opening stream to bank of israel
2015-07-13 20:11:17 INFO  :88 - Closing stream with bank of israel
2015-07-13 20:11:19 INFO  :168 - Successfully built GUI
2015-07-13 20:11:19 INFO  :128 - Next update in 10 minutes
2015-07-13 20:11:34 INFO  :130 - Table updated
2015-07-13 20:11:34 INFO  :128 - Next update in 10 minutes
2015-07-13 20:12:47 INFO  :51 - Program starting
2015-07-13 20:12:47 INFO  :50 - Opening stream to bank of israel
2015-07-13 20:12:48 INFO  :87 - Closing stream with bank of israel
2015-07-13 20:12:49 INFO  :168 - Successfully built GUI
2015-07-13 20:12:49 INFO  :127 - Next update in 10 minutes
2015-07-13 20:13:04 INFO  :129 - Table updated
2015-07-13 20:13:05 INFO  :127 - Next update in 10 minutes
2015-07-13 20:13:55 INFO  :51 - Program starting
2015-07-13 20:13:55 INFO  :50 - Opening stream to bank of israel
2015-07-13 20:13:55 INFO  :87 - Closing stream with bank of israel
2015-07-13 20:13:57 INFO  :168 - Successfully built GUI
2015-07-13 20:13:57 INFO  :127 - Next update in 10 minutes
2015-07-24 15:13:53 INFO  :51 - Program starting
2015-07-24 15:13:53 INFO  :50 - Opening stream to bank of israel
2015-07-24 15:13:54 INFO  :87 - Closing stream with bank of israel
2015-07-24 15:13:56 INFO  :168 - Successfully built GUI
2015-07-24 15:13:56 INFO  :124 - Next update in 10 minutes
2015-07-29 14:31:57 INFO  :51 - Program starting
2015-07-29 14:31:57 INFO  :50 - Opening stream to bank of israel
2015-07-29 14:32:01 INFO  :87 - Closing stream with bank of israel
2015-07-29 14:32:05 INFO  :168 - Successfully built GUI
2015-07-29 14:32:05 INFO  :124 - Next update in 10 minutes
2015-07-29 17:57:12 INFO  :55 - Program starting
2015-07-29 17:57:12 INFO  :50 - Opening stream to bank of israel
2015-07-29 17:57:15 INFO  :87 - Closing stream with bank of israel
2015-07-29 17:57:17 INFO  :180 - Successfully built GUI
2015-07-29 17:57:17 INFO  :124 - Next update in 10 minutes
2015-07-29 18:40:09 INFO  :51 - Program starting
2015-07-29 18:40:09 INFO  :62 - Opening stream to bank of israel
2015-07-29 18:40:12 INFO  :124 - Closing stream with bank of israel
2015-07-29 18:40:15 INFO  :166 - Successfully built GUI
2015-07-29 18:40:15 INFO  :189 - Next update in 10 minutes
2015-07-29 18:40:30 INFO  :191 - Table updated
2015-07-29 18:40:33 INFO  :189 - Next update in 10 minutes
2015-07-29 19:05:17 INFO  :51 - Program starting
2015-07-29 19:05:17 INFO  :62 - Opening stream to bank of israel
2015-07-29 19:05:19 INFO  :124 - Closing stream with bank of israel
2015-07-29 19:05:21 INFO  :166 - Successfully built GUI
2015-07-29 19:05:21 INFO  :189 - Next update in 10 minutes
2015-07-29 19:05:36 INFO  :191 - Table updated
